Tema,Objetivos de aprendizagem,Atividades,Leitura obrigatória
Apresentação da disciplina. Aplicação de teste diagnóstico sobre competência textual acadêmica.,Compreender os objetivos da disciplina e avaliar conhecimentos prévios.,"Apresentação oral, quiz interativo, formulário diagnóstico.","Plano da disciplina (Quarto), nenhum texto específico."
Sistema acadêmico brasileiro,Identificar a estrutura e os níveis do ensino superior no Brasil.,"Quiz temporizado, análise de infográfico.",Ferrarezi Jr. – Capítulo sobre o sistema acadêmico brasileiro.
Pensamento científico,Distinguir pensamento científico de senso comum.,"Leitura dirigida, atividade de análise de trechos.",Ferrarezi Jr. – Capítulo introdutório + site Ivory Embassy.
"Autoria, opinião e escrita acadêmica",Reconhecer a diferença entre opinião pessoal e posicionamento argumentativo.,"Análise de trechos com viés opinativo, exercícios da OBL.","Castro et al. – Leitura e Escrita Acadêmicas, cap. introdutório."
Argumentos de senso comum e senso crítico. Argumentos empíricos e de autoridade.,Identificar tipos de argumentos e distinguir validade argumentativa.,"Quiz, análise de exemplos reais, debate dirigido.",Castro et al. – cap. 1; Vieira & Faraco – cap. 6.
Tipos de argumento,Classificar diferentes estratégias argumentativas.,Leitura de textos acadêmicos com identificação de tipos de argumentos.,Vieira & Faraco – cap. 6 (continuação).
Gerenciadores de referências bibliográficas,Utilizar gerenciadores como Zotero ou Mendeley para organização de referências.,"Aula prática em laboratório, submissão de atividade via Bookdown.",Tutorial preparado pelo professor.
Citações diretas e indiretas,Aplicar as normas da ABNT para citação.,Exercício com trechos acadêmicos; feedback automatizado.,ABNT NBR 10520:2023.
Fontes confiáveis de informação acadêmica,Distinguir fontes confiáveis de informação científica.,"Busca no Google Acadêmico, análise de fake papers.",Castro et al. – cap. sobre fontes de informação científica.
Quiz pré-prova,Revisar os conteúdos abordados antes da 1ª avaliação.,"Quiz no estilo da prova, com feedback imediato.",Sem leitura obrigatória.
1ª Avaliação,Avaliar conteúdos teóricos e práticos da Unidade I.,Prova objetiva com base nos conteúdos trabalhados.,Todo conteúdo da Unidade I.
Comentários sobre a 1ª avaliação. Gêneros textuais acadêmicos,Compreender o papel dos gêneros acadêmicos e refletir sobre o desempenho na prova.,"Discussão guiada, introdução aos gêneros científicos.",Castro et al. – cap. sobre gêneros acadêmicos.
Projeto de pesquisa (plano de trabalho) – Parte I,"Esboçar introdução, justificativa e objetivos do projeto.","Leitura de modelo, exercício com perguntas orientadoras.",Modelo de plano de trabalho (PIBIC).
Projeto de pesquisa (plano de trabalho) – Parte II,"Elaborar metodologia, habilidades e cronograma.",Atividade prática com ferramenta interativa.,"Modelo de plano de trabalho + Gil, A. C. (cap. sobre metodologia)."
Gêneros textuais acadêmicos,"Identificar estrutura e função de gêneros como plano, resumo e artigo.","Análise de corpus anotado, uso de marcadores retóricos.",Corpus de resumos da disciplina + Motta-Roth et al.
Resumo científico,Reconhecer e aplicar movimentos retóricos no resumo.,Leitura prática de resumos e anotação de estrutura.,Motta-Roth & Hendges (1996); Rodrigues (1999).
Artigo científico,Distinguir artigos originais e de revisão.,"Leitura com quiz interativo, comparação entre tipos.",Texto-base sobre artigos científicos (Quarto).
Leitura inspecional e leitura averiguativa,Aplicar técnicas de leitura em textos científicos.,"Exercício com skimming e scanning, análise de introdução.",Castro et al. – cap. sobre leitura acadêmica.
